Sample	Unassigned_Ambiguity	Unassigned_Singleton	Unassigned_MappingQuality	percent_assigned	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_FragmentLength	Unassigned_NoFeatures	Total	Unassigned_NonSplit
22L-12h-1_S48_R1_001	2113288	1392918	0	68.9423408161	0	292384	1045000	23621384	0	0	0	0	2276917	3520630	34262521	0
22L-12h-2_S49_R1_001	2453593	1660310	0	67.5720754301	0	332425	1479400	27833271	0	0	0	0	2703944	4727550	41190493	0
22L-12h-3_S50_R1_001	1578799	1150233	0	68.0844108879	0	285370	847856	18262336	0	0	0	0	2349591	2348895	26823080	0
22L-24h-1_S51_R1_001	1564769	1564834	0	55.2222696965	0	334284	1202538	18949883	0	0	0	0	2724081	7975265	34315654	0
22L-24h-2_S52_R1_001	2092449	1582997	0	67.9195752023	0	334266	907240	23430332	0	0	0	0	2682289	3467598	34497171	0
22L-24h-3_S53_R1_001	1299634	1413399	0	52.8218886347	0	339543	739992	16188339	0	0	0	0	2806034	7860087	30647028	0
22L-3h-1_S42_R1_001	1650129	1438035	0	64.1920290654	0	315173	1009248	19604073	0	0	0	0	2167367	4355706	30539731	0
22L-3h-2_S43_R1_001	1378133	1582416	0	52.4871026464	0	303477	1604706	17477315	0	0	0	0	2306322	8645935	33298304	0
22L-3h-3_S44_R1_001	2542821	2187578	0	64.246996135	0	508128	1380209	29812727	0	0	0	0	3973867	5997971	46403301	0
22L-6h-1_S45_R1_001	1901245	1733035	0	58.5689620277	0	467254	1702548	23277913	0	0	0	0	3729148	6933309	39744452	0
22L-6h-2_S46_R1_001	1748879	1234534	0	68.2982082145	0	305586	959829	20424028	0	0	0	0	2360886	2870451	29904193	0
22L-6h-3_S47_R1_001	1519568	1357030	0	59.4241536406	0	348337	1369885	18657228	0	0	0	0	2906404	5238256	31396708	0
IFN-L-12h-1_S24_R1_001	1676306	1765203	0	58.7029009553	0	435917	1271418	20177475	0	0	0	0	3540694	5505181	34372194	0
IFN-L-12h-2_S25_R1_001	1905129	1726138	0	61.3774437901	0	416175	1395290	22428300	0	0	0	0	3174618	5495950	36541600	0
IFN-L-12h-3_S26_R1_001	2228712	1530129	0	68.0162668496	0	327359	1154070	24788640	0	0	0	0	2504125	3912129	36445164	0
IFN-L-24h-1_S27_R1_001	1927896	1485268	0	61.3000498784	0	253340	993278	20981325	0	0	0	0	1855413	6730736	34227256	0
IFN-L-24h-2_S28_R1_001	2271956	1734360	0	65.3806474889	0	366265	1120983	25283953	0	0	0	0	2791994	5102411	38671922	0
IFN-L-24h-3_S29_R1_001	1801913	2200108	0	51.6381613423	0	445051	1254069	21972553	0	0	0	0	3697289	11180015	42550998	0
IFN-L-3h-1_S18_R1_001	1746027	1693119	0	61.2463324024	0	457916	1146462	20832175	0	0	0	0	3516363	4621689	34013751	0
IFN-L-3h-2_S19_R1_001	2492371	3175141	0	51.4561167586	0	660220	3134146	31898167	0	0	0	0	4893452	15737514	61991011	0
IFN-L-3h-3_S20_R1_001	1795489	1840448	0	59.3304758575	0	430369	1332541	21884739	0	0	0	0	3305619	6296963	36886168	0
IFN-L-6h-1_S21_R1_001	3807430	4208699	0	50.1021525065	0	852351	5704577	49489069	0	0	0	0	6179892	28534315	98776333	0
IFN-L-6h-2_S22_R1_001	2618016	2026539	0	65.5650302132	0	557063	1484324	30728524	0	0	0	0	4360760	5092020	46867246	0
IFN-L-6h-3_S23_R1_001	1926583	1932643	0	58.9084571014	0	472022	1556610	23711808	0	0	0	0	3933315	6718978	40251959	0
IL-22-12h-1_S36_R1_001	1851895	1571662	0	62.857882433	0	366527	1026941	21065823	0	0	0	0	2849567	4781000	33513415	0
IL-22-12h-2_S37_R1_001	1581809	1579637	0	54.6650252689	0	367885	1695871	19219486	0	0	0	0	2778704	7935260	35158652	0
IL-22-12h-3_S38_R1_001	2057447	1650000	0	64.0739175422	0	432989	1146134	23679255	0	0	0	0	3480862	4509466	36956153	0
IL-22-24h-1_S39_R1_001	1884278	1376770	0	63.7639810128	0	341458	994797	21382190	0	0	0	0	2682810	4871033	33533336	0
IL-22-24h-2_S40_R1_001	1877020	1517927	0	66.0395461998	0	311936	816846	20814292	0	0	0	0	2447282	3732618	31517921	0
IL-22-24h-3_S41_R1_001	2804843	1686379	0	66.9934792305	0	339375	1015879	25487497	0	0	0	0	1884652	4826118	38044743	0
IL-22-3h-1_S30_R1_001	2499413	1735375	0	66.3078946917	0	308543	1641066	28464844	0	0	0	0	2181624	6097423	42928288	0
IL-22-3h-2_S31_R1_001	1241675	1461671	0	51.4330267888	0	256142	1705185	15961832	0	0	0	0	1762796	8644906	31034207	0
IL-22-3h-3_S32_R1_001	1886902	1517357	0	64.4558014382	0	298969	1183225	21579491	0	0	0	0	2241497	4772076	33479517	0
IL-22-6h-1_S33_R1_001	1413201	1225564	0	59.8198768554	0	296663	1389315	17041858	0	0	0	0	2201621	4920399	28488621	0
IL-22-6h-2_S34_R1_001	1386307	1336605	0	63.6411904836	0	352262	1033203	16469059	0	0	0	0	2365358	2935193	25877987	0
IL-22-6h-3_S35_R1_001	1578869	2270322	0	47.8415009047	0	385931	3788935	21862755	0	0	0	0	2210384	13601109	45698305	0
Mock-12h-1_S12_R1_001	1846304	1869209	0	56.3688997502	0	511005	1383714	21905663	0	0	0	0	3997179	7348183	38861257	0
Mock-12h-4_S13_R1_001	1674781	1525936	0	57.2908350865	0	352466	1427313	19928291	0	0	0	0	2755427	7120217	34784431	0
Mock-12h-6_S14_R1_001	2800413	1767088	0	66.2239781976	0	314464	1590335	31094865	0	0	0	0	2267170	7119753	46954088	0
Mock-24h-1_S15_R1_001	1022434	1233837	0	51.4344550539	0	196978	961817	12483528	0	0	0	0	1496646	6875510	24270750	0
Mock-24h-2_S16_R1_001	2030422	1574049	0	64.2710809799	0	323189	1099413	22166349	0	0	0	0	2427669	4867747	34488838	0
Mock-24h-3_S17_R1_001	1503066	1251730	0	58.0986951662	0	270026	863009	17006786	0	0	0	0	1932728	6444889	29272234	0
Mock-3h-1_S6_R1_001	1949291	1489227	0	61.3335000978	0	287319	1408712	22748743	0	0	0	0	2070744	7136205	37090241	0
Mock-3h-2_S7_R1_001	1766414	1841243	0	55.3498147342	0	376938	1747099	21465686	0	0	0	0	3029165	8555312	38781857	0
Mock-3h-3_S8_R1_001	1304875	1406609	0	54.6141601828	0	307810	1320085	16002074	0	0	0	0	2376188	6582588	29300229	0
Mock-6h-1_S9_R1_001	3026974	3247904	0	53.5136364667	0	679397	2933794	36545706	0	0	0	0	5512493	16346056	68292324	0
Mock-6h-2_S10_R1_001	2572685	2362080	0	58.0382698217	0	538425	2206073	30624907	0	0	0	0	4434491	10028086	52766747	0
Mock-6h-4_S11_R1_001	2712667	3136888	0	57.1775024077	0	619825	2278809	32649032	0	0	0	0	4989128	10714837	57101186	0
