Sample	FastQC_percent_gc	featureCounts_Assigned	featureCounts_percent_assigned	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails
22L-12h-1_S48_R1_001	51.0	23621384	68.9423408161	34262521.0	59.7625793552	139.848464595	18.1818181818
22L-12h-1_S48_R2_001	51.0			34262521.0	58.8022630453	140.038145004	18.1818181818
22L-12h-2_S49_R1_001	51.0	27833271	67.5720754301	41190493.0	62.7666648391	140.662653321	18.1818181818
22L-12h-2_S49_R2_001	51.0			41190493.0	61.210467228	140.854108423	18.1818181818
22L-12h-3_S50_R1_001	50.0	18262336	68.0844108879	26823080.0	56.1613554692	141.538424297	18.1818181818
22L-12h-3_S50_R2_001	50.0			26823080.0	54.6768457647	141.733503386	18.1818181818
22L-24h-1_S51_R1_001	52.0	18949883	55.2222696965	34315654.0	63.5927137262	141.08396104	18.1818181818
22L-24h-1_S51_R2_001	52.0			34315654.0	62.0296402946	141.239940553	18.1818181818
22L-24h-2_S52_R1_001	51.0	23430332	67.9195752023	34497171.0	59.6743696235	142.215830887	18.1818181818
22L-24h-2_S52_R2_001	51.0			34497171.0	57.6983951936	142.331944263	18.1818181818
22L-24h-3_S53_R1_001	52.0	16188339	52.8218886347	30647028.0	64.3693635467	142.99498754	18.1818181818
22L-24h-3_S53_R2_001	52.0			30647028.0	62.5559699638	143.106606683	18.1818181818
22L-3h-1_S42_R1_001	51.0	19604073	64.1920290654	30539731.0	58.7551849235	143.095693999	18.1818181818
22L-3h-1_S42_R2_001	51.0			30539731.0	57.057485132	143.24075474	18.1818181818
22L-3h-2_S43_R1_001	53.0	17477315	52.4871026464	33298304.0	65.6887140832	142.243300139	18.1818181818
22L-3h-2_S43_R2_001	53.0			33298304.0	63.8550181089	142.450883865	18.1818181818
22L-3h-3_S44_R1_001	51.0	29812727	64.246996135	46403301.0	64.7124411287	143.746926948	18.1818181818
22L-3h-3_S44_R2_001	51.0			46403301.0	62.6577545514	143.827569767	18.1818181818
22L-6h-1_S45_R1_001	51.0	23277913	58.5689620277	39744452.0	64.3211299859	142.549958923	18.1818181818
22L-6h-1_S45_R2_001	51.0			39744452.0	62.5564747483	142.678891736	18.1818181818
22L-6h-2_S46_R1_001	50.0	20424028	68.2982082145	29904193.0	59.5852121947	142.595529496	18.1818181818
22L-6h-2_S46_R2_001	50.0			29904193.0	58.2058705259	142.762935953	18.1818181818
22L-6h-3_S47_R1_001	51.0	18657228	59.4241536406	31396708.0	62.1280514168	144.957985563	18.1818181818
22L-6h-3_S47_R2_001	51.0			31396708.0	60.7371333986	145.082065164	18.1818181818
IFN-L-12h-1_S24_R1_001	51.0	20177475	58.7029009553	34372194.0	62.6513114725	144.539605968	18.1818181818
IFN-L-12h-1_S24_R2_001	51.0			34372194.0	60.3262153058	144.676600161	18.1818181818
IFN-L-12h-2_S25_R1_001	51.0	22428300	61.3774437901	36541600.0	62.5598115546	143.96125	18.1818181818
IFN-L-12h-2_S25_R2_001	51.0			36541600.0	60.8540673833	144.092665619	18.1818181818
IFN-L-12h-3_S26_R1_001	51.0	24788640	68.0162668496	36445164.0	61.5323475047	141.669096042	18.1818181818
IFN-L-12h-3_S26_R2_001	51.0			36445164.0	60.2326752375	141.814404375	18.1818181818
IFN-L-24h-1_S27_R1_001	53.0	20981325	61.3000498784	34227256.0	63.3872065374	140.303373195	18.1818181818
IFN-L-24h-1_S27_R2_001	53.0			34227256.0	62.0106617579	140.467974909	18.1818181818
IFN-L-24h-2_S28_R1_001	51.0	25283953	65.3806474889	38671922.0	61.8444244904	142.341862709	18.1818181818
IFN-L-24h-2_S28_R2_001	51.0			38671922.0	60.2326744547	142.50995394	18.1818181818
IFN-L-24h-3_S29_R1_001	52.0	21972553	51.6381613423	42550998.0	67.4650303661	144.307552457	18.1818181818
IFN-L-24h-3_S29_R2_001	52.0			42550998.0	65.1125491021	144.443362833	18.1818181818
IFN-L-3h-1_S18_R1_001	51.0	20832175	61.2463324024	34013751.0	61.6751271649	143.50103342	18.1818181818
IFN-L-3h-1_S18_R2_001	51.0			34013751.0	59.9774745096	143.663158791	18.1818181818
IFN-L-3h-2_S19_R1_001	52.0	31898167	51.4561167586	61991011.0	70.9060232586	143.18332245	18.1818181818
IFN-L-3h-2_S19_R2_001	53.0			61991011.0	68.7058220811	143.32077512	18.1818181818
IFN-L-3h-3_S20_R1_001	52.0	21884739	59.3304758575	36886168.0	63.1886867736	143.750176028	18.1818181818
IFN-L-3h-3_S20_R2_001	52.0			36886168.0	61.2106007255	143.901398757	18.1818181818
IFN-L-6h-1_S21_R1_001	53.0	49489069	50.1021525065	98776333.0	74.8765191884	139.50314831	18.1818181818
IFN-L-6h-1_S21_R2_001	53.0			98776333.0	73.545560543	139.627348912	18.1818181818
IFN-L-6h-2_S22_R1_001	50.0	30728524	65.5650302132	46867246.0	63.3790893894	143.785532864	18.1818181818
IFN-L-6h-2_S22_R2_001	50.0			46867246.0	61.7562591207	143.997622839	18.1818181818
IFN-L-6h-3_S23_R1_001	51.0	23711808	58.9084571014	40251959.0	64.7088762651	144.134758385	18.1818181818
IFN-L-6h-3_S23_R2_001	51.0			40251959.0	62.4617992594	144.234998649	18.1818181818
IL-22-12h-1_S36_R1_001	51.0	21065823	62.857882433	33513415.0	61.5571900937	143.116569529	18.1818181818
IL-22-12h-1_S36_R2_001	51.0			33513415.0	59.5770841072	143.257276139	18.1818181818
IL-22-12h-2_S37_R1_001	52.0	19219486	54.6650252689	35158652.0	64.5538563839	142.516683091	18.1818181818
IL-22-12h-2_S37_R2_001	52.0			35158652.0	62.9283321699	142.726718704	18.1818181818
IL-22-12h-3_S38_R1_001	51.0	23679255	64.0739175422	36956153.0	61.5757884158	143.179830081	18.1818181818
IL-22-12h-3_S38_R2_001	51.0			36956153.0	59.8232518948	143.31642701	18.1818181818
IL-22-24h-1_S39_R1_001	51.0	21382190	63.7639810128	33533336.0	61.539389441	142.824021684	18.1818181818
IL-22-24h-1_S39_R2_001	51.0			33533336.0	60.0613987973	142.960935411	18.1818181818
IL-22-24h-2_S40_R1_001	51.0	20814292	66.0395461998	31517921.0	59.6820967425	143.137901545	18.1818181818
IL-22-24h-2_S40_R2_001	51.0			31517921.0	57.1909096097	143.302409001	18.1818181818
IL-22-24h-3_S41_R1_001	52.0	25487497	66.9934792305	38044743.0	67.1213089741	142.917964934	18.1818181818
IL-22-24h-3_S41_R2_001	52.0			38044743.0	65.3765451506	143.08095079	18.1818181818
IL-22-3h-1_S30_R1_001	51.0	28464844	66.3078946917	42928288.0	63.6365479364	138.003743965	18.1818181818
IL-22-3h-1_S30_R2_001	51.0			42928288.0	62.1264408756	138.211051091	18.1818181818
IL-22-3h-2_S31_R1_001	52.0	15961832	51.4330267888	31034207.0	65.4079669498	142.568837509	18.1818181818
IL-22-3h-2_S31_R2_001	52.0			31034207.0	63.4921661431	142.742105606	18.1818181818
